timestamp,test-class,test-method,time,description,result
2021-12-08 20:49:21.563,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,33207,"[1] recordIndex=0, title=null, description=null, periodInitial=null, periodFinal=null, workloadInHours=null, Link=null, isPublic=false",Cannot find 'By.xpath: //button[@type='submit' and normalize-space()='Create']'
2021-12-08 20:49:55.212,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,33395,"[2] recordIndex=1, title=Nigeria, description=descripcion bien, periodInitial=2021/06/30 17:50, periodFinal=2021/10/31 18:55, workloadInHours=999.10, Link=http://www.sample-app.com/, isPublic=true",Cannot find 'By.xpath: //button[@type='submit' and normalize-space()='Create']'
2021-12-08 20:50:28.593,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,33110,"[3] recordIndex=2, title=Titulo correcto, description=sex, periodInitial=2021/06/30 17:50, periodFinal=2021/08/31 18:55, workloadInHours=1.00, Link=null, isPublic=false",Cannot find 'By.xpath: //button[@type='submit' and normalize-space()='Create']'
2021-12-08 20:51:01.961,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,33093,"[4] recordIndex=3, title=Tarea 6, description=hacer la comida, periodInitial=2021/03/31 17:50, periodFinal=2021/08/31 18:55, workloadInHours=10.23, Link=http://www.sample-app.com/, isPublic=false",Cannot find 'By.xpath: //button[@type='submit' and normalize-space()='Create']'
2021-12-08 20:51:35.497,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,33279,"[5] recordIndex=3, title=Tarea 7, description=Descripcion, periodInitial=2021/07/31 17:50, periodFinal=2021/05/31 18:55, workloadInHours=20.99, Link=http://www.sample-app.com/, isPublic=true",Cannot find 'By.xpath: //button[@type='submit' and normalize-space()='Create']'
