timestamp,test-class,test-method,time,description,result
2021-12-09 14:01:38.626,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,3948,"[1] recordIndex=0, title=null, description=null, periodInitial=null, periodFinal=null, workloadInHours=null, Link=null, isPublic=false",OK
2021-12-09 14:01:42.973,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,4080,"[2] recordIndex=1, title=Nigeria, description=descripcion bien, periodInitial=2021/06/30 17:50, periodFinal=2021/10/31 18:55, workloadInHours=999.10, Link=http://www.sample-app.com/, isPublic=true",OK
2021-12-09 14:01:46.864,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,3663,"[3] recordIndex=2, title=Titulo correcto, description=sex, periodInitial=2021/06/30 17:50, periodFinal=2021/08/31 18:55, workloadInHours=1.00, Link=null, isPublic=false",OK
2021-12-09 14:01:50.746,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,3663,"[4] recordIndex=3, title=Tarea 6, description=hacer la comida, periodInitial=2021/03/31 17:50, periodFinal=2021/08/31 18:55, workloadInHours=10.23, Link=http://www.sample-app.com/, isPublic=false",OK
2021-12-09 14:01:54.963,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,3997,"[5] recordIndex=3, title=Tarea 7, description=Descripcion, periodInitial=2021/07/31 17:50, periodFinal=2021/05/31 18:55, workloadInHours=20.99, Link=http://www.sample-app.com/, isPublic=true",OK
2021-12-09 14:01:59.051,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,3850,"[6] recordIndex=4, title=Titulo, description=ir al gym, periodInitial=2021/09/30 17:50, periodFinal=2021/10/31 18:55, workloadInHours=-3.00, Link=null, isPublic=false",OK
2021-12-09 14:02:03.035,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,3745,"[7] recordIndex=5, title=Tarea 9, description=Recoger colada, periodInitial=2021/06/30 17:50, periodFinal=2021/07/30 18:56, workloadInHours=725.00, Link=sample-app.com, isPublic=false",OK
2021-12-09 14:02:07.073,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,3818,"[8] recordIndex=6, title=null, description=I have to finish the dp delivery, periodInitial=2021/08/03 17:50, periodFinal=2021/12/03 18:55, workloadInHours=999.59, Link=http://www.sample-app.com, isPublic=true",OK
2021-12-09 14:02:11.266,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,3952,"[9] recordIndex=7, title=null, description=I have to finish the dp delivery, periodInitial=2021/08/03 17:50, periodFinal=2021/12/03 18:55, workloadInHours=999.59, Link=http://www.sample-app.com, isPublic=true",OK
2021-12-09 14:02:16.591,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,5052,"[10] recordIndex=8, title=Gustavo Adolfo Claudio Domínguez Bastida (February 171836 – December 221870) better known as Gustavo Adolfo Bécquer (Spanish pronunciation: [ɡusˈtaβo aˈðolfo ˈβekeɾ]) was a Spanish Romanticist poet and writer (mostly short stories) also a playwrigh literary columnist and talented in drawing. Today he is considered one of the most important figures in Spanish literature and is considered by some as the most read writer after Miguel de Cervantes.[1] He adopted the alias of Bécquer as his brother Valeriano Bé…, description=I have to finish the dp delivery, periodInitial=2021/08/03 17:50, periodFinal=2021/12/03 18:55, workloadInHours=999.59, Link=http://www.sample-app.com, isPublic=true",OK
2021-12-09 14:02:21.074,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,4234,"[11] recordIndex=9, title=Do exercises, description=null, periodInitial=2021/08/03 17:50, periodFinal=2021/12/03 18:55, workloadInHours=999.59, Link=http://www.sample-app.com, isPublic=true",OK
2021-12-09 14:02:25.276,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,3989,"[12] recordIndex=10, title=Do exercises, description=null, periodInitial=2021/08/03 17:50, periodFinal=2021/12/03 18:55, workloadInHours=999.59, Link=http://www.sample-app.com, isPublic=true",OK
2021-12-09 14:02:30.172,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,4688,"[13] recordIndex=11, title=Do exercises, description=Gustavo Adolfo Claudio Domínguez Bastida (February 171836 – December 221870) better known as Gustavo Adolfo Bécquer (Spanish pronunciation: [ɡusˈtaβo aˈðolfo ˈβekeɾ]) was a Spanish Romanticist poet and writer (mostly short stories) also a playwrigh literary columnist and talented in drawing. Today he is considered one of the most important figures in Spanish literature and is considered by some as the most read writer after Miguel de Cervantes.[1] He adopted the alias of Bécquer as his brother Valeriano Bé…, periodInitial=2021/08/03 17:50, periodFinal=2021/12/03 18:55, workloadInHours=999.59, Link=http://www.sample-app.com, isPublic=true",OK
2021-12-09 14:02:34.399,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,3966,"[14] recordIndex=12, title=Do exercises, description=I have to finish the dp delivery, periodInitial=2011/08/03 17:50, periodFinal=2021/12/03 18:55, workloadInHours=999.59, Link=http://www.sample-app.com, isPublic=true",OK
2021-12-09 14:02:38.508,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,3915,"[15] recordIndex=13, title=Do exercises, description=I have to finish the dp delivery, periodInitial=2011/08/03 17:50, periodFinal=2011/12/03 18:55, workloadInHours=999.59, Link=http://www.sample-app.com, isPublic=true",OK
2021-12-09 14:02:42.55,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,3813,"[16] recordIndex=14, title=Do exercises, description=I have to finish the dp delivery, periodInitial=2021/08/03 17:50, periodFinal=2021/08/04 18:55, workloadInHours=999.59, Link=http://www.sample-app.com, isPublic=true",OK
2021-12-09 14:02:46.536,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,3757,"[17] recordIndex=15, title=Do exercises, description=I have to finish the dp delivery, periodInitial=2022/08/03 17:50, periodFinal=2021/12/03 18:55, workloadInHours=999.59, Link=http://www.sample-app.com, isPublic=true",OK
2021-12-09 14:02:50.675,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,3905,"[18] recordIndex=16, title=Developing my application, description=I have to finish developing my application, periodInitial=2021/07/30 17:50, periodFinal=2021/07/31 19:55, workloadInHours=2000.01, Link=http://www.sample-app.com, isPublic=true",OK
2021-12-09 14:02:54.842,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,3926,"[19] recordIndex=17, title=Developing my application, description=I have to finish developing my application, periodInitial=2021/07/30 17:50, periodFinal=2021/07/31 19:55, workloadInHours=-1.01, Link=http://www.sample-app.com, isPublic=true",OK
2021-12-09 14:02:59.074,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,3974,"[20] recordIndex=18, title=Developing my application, description=I have to finish developing my application, periodInitial=2021/07/30 17:50, periodFinal=2021/07/31 19:55, workloadInHours=1.0000000004, Link=http://www.sample-app.com, isPublic=true",OK
2021-12-09 14:03:03.259,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,3953,"[21] recordIndex=19, title=Developing my application, description=I have to finish developing my application, periodInitial=2021/07/30 17:50, periodFinal=2021/07/31 19:55, workloadInHours=0.71, Link=http://www.sample-app.com, isPublic=true",OK
2021-12-09 14:03:07.381,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,3908,"[22] recordIndex=20, title=Developing my application, description=I have to finish developing my application, periodInitial=2021/07/30 17:50, periodFinal=2021/07/31 19:55, workloadInHours=0.01, Link=Esto deberia de ser una URL, isPublic=true",OK
2021-12-09 14:03:11.43,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,3837,"[23] recordIndex=21, title=Testing workload, description=I have to finish developing my application, periodInitial=2021/07/30 19:50, periodFinal=2021/07/30 19:50, workloadInHours=0.01, Link=Esto deberia de ser una URL, isPublic=true",OK
2021-12-09 14:03:15.581,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,3941,"[24] recordIndex=22, title=Testing workload, description=I have to finish developing my application, periodInitial=2021/07/30 19:50, periodFinal=2021/07/30 20:50, workloadInHours=0.60, Link=Esto deberia de ser una URL, isPublic=true",OK
2021-12-09 14:03:19.773,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,3967,"[25] recordIndex=23, title=Testing workload, description=I have to finish developing my application, periodInitial=2021/07/30 19:50, periodFinal=2021/07/30 20:50, workloadInHours=1.01, Link=Esto deberia de ser una URL, isPublic=true",OK
