timestamp,test-class,test-method,time,description,result
2021-12-09 14:04:54.778,acme.testing.officer.duty.OfficerDutyCreateTest,createPositive,4827,"[1] recordIndex=0, title=Do exercises, description=I have to finish the dp delivery, periodInitial=2021/12/08 23:50, periodFinal=2021/12/09 18:55, workloadInHours=10, Link=http://www.sample-app.com, isPublic=true",Expected value '2021/12/08 23:50' in attribute 0 of record 0, but found '2021/12/08 12:30'
2021-12-09 14:04:59.431,acme.testing.officer.duty.OfficerDutyCreateTest,createPositive,4434,"[2] recordIndex=1, title=Clean my car, description=I have to clean my car, periodInitial=2021/12/09 17:50, periodFinal=2021/12/10 19:55, workloadInHours=10, Link=null, isPublic=false",Expected value '2021/12/09 17:50' in attribute 0 of record 1, but found '2021/12/08 12:30'
2021-12-09 14:05:04.204,acme.testing.officer.duty.OfficerDutyCreateTest,createPositive,4544,"[3] recordIndex=2, title=Study the math test, description=I have to study this month, periodInitial=2021/12/10 13:50, periodFinal=2021/12/11 17:55, workloadInHours=9.00, Link=http://mathExams.com, isPublic=false",Expected value '2021/12/10 13:50' in attribute 0 of record 2, but found '2021/12/08 12:30'
2021-12-09 14:05:09.087,acme.testing.officer.duty.OfficerDutyCreateTest,createPositive,4650,"[4] recordIndex=3, title=Developing my application, description=I have to finish developing my application, periodInitial=2021/12/10 17:50, periodFinal=2021/12/14 19:55, workloadInHours=0.01, Link=http://www.sample-app.com, isPublic=true",Expected value '2021/12/10 17:50' in attribute 0 of record 3, but found '2021/12/08 12:30'
2021-12-09 14:05:14.173,acme.testing.officer.duty.OfficerDutyCreateTest,createPositive,4803,"[5] recordIndex=4, title=Study the math exam, description=I have to study the math exam, periodInitial=2021/12/09 19:50, periodFinal=2021/12/10 17:55, workloadInHours=1.34, Link=null, isPublic=false",Expected value '2021/12/09 19:50' in attribute 0 of record 4, but found '2021/12/08 12:30'
2021-12-09 14:05:18.853,acme.testing.officer.duty.OfficerDutyCreateTest,createPositive,4428,"[6] recordIndex=5, title=Clean the car, description=I have to clean the car, periodInitial=2021/12/10 17:30, periodFinal=2021/12/15 18:30, workloadInHours=0.59, Link=http://lavaderosSevilla.com, isPublic=false",Expected value '2021/12/10 17:30' in attribute 0 of record 5, but found '2021/07/07 00:00'
