timestamp,test-class,test-method,time,description,result
2021-12-09 13:30:45.726,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatepositive,7437,"[1] recordIndex=0, spam=sex, threshold=0.1",OK
2021-12-09 13:30:52.61,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatepositive,6589,"[2] recordIndex=0, spam=sex, threshold=0",OK
2021-12-09 13:30:59.027,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatepositive,6104,"[3] recordIndex=0, spam=sex, threshold=1",OK
2021-12-09 13:31:05.323,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatepositive,6022,"[4] recordIndex=0, spam=sex, threshold=0.5",OK
2021-12-09 13:31:12.006,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatepositive,6417,"[5] recordIndex=0, spam=million dollars, threshold=0",OK
2021-12-09 13:31:17.73,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,5380,"[1] recordIndex=0, spam=null, threshold=-500",OK
2021-12-09 13:31:23.409,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,5355,"[2] recordIndex=0, spam=null, threshold=null",OK
2021-12-09 13:31:28.925,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,5271,"[3] recordIndex=0, spam=null, threshold=0",OK
2021-12-09 13:31:34.393,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,5204,"[4] recordIndex=0, spam=null, threshold=1.2",OK
2021-12-09 13:31:40.022,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,5311,"[5] recordIndex=0, spam=null, threshold=1",OK
2021-12-09 13:31:45.729,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,5387,"[6] recordIndex=0, spam=null, threshold=0.1",OK
2021-12-09 13:31:51.068,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,5045,"[7] recordIndex=0, spam=null, threshold=0.89",OK
2021-12-09 13:31:56.42,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,5075,"[8] recordIndex=0, spam=sex, threshold=null",OK
2021-12-09 13:32:02.063,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,5387,"[9] recordIndex=0, spam=sex, threshold=-0.1",OK
2021-12-09 13:32:07.444,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,5099,"[10] recordIndex=0, spam=sex, threshold=null",OK
2021-12-09 13:32:13.138,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,5408,"[11] recordIndex=0, spam=sex, threshold=1.2",OK
2021-12-09 13:32:18.807,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,5292,"[12] recordIndex=0, spam=sex, threshold=600",OK
2021-12-09 13:32:24.206,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,5143,"[13] recordIndex=0, spam=sex, threshold=-600",OK
